Dates,Open ,High,Low,Close ,Volume,MarketCapita
16-02-2017,12.92,12.92,12.54,12.9,"3,80,02,600","1,14,77,26,668"
15-02-2017,13.04,13.04,12.64,12.92,"1,84,64,700","1,14,87,42,628"
14-02-2017,11.29,13.33,11.29,13.03,"4,29,11,500","1,15,77,09,435"
13-02-2017,11.38,11.39,11.17,11.27,"72,16,520","1,00,13,04,093"
12-02-2017,11.35,11.4,11.3,11.4,"62,64,900","1,01,24,66,457"
11-02-2017,11.29,11.43,11.24,11.35,"75,44,520","1,00,76,94,076"
10-02-2017,11.05,11.34,10.78,11.28,"1,19,14,200","1,00,10,69,228"
09-02-2017,11.44,11.6,10.67,11.03,"1,84,00,300","97,88,25,690"
08-02-2017,11.54,11.63,11.24,11.43,"96,88,630","1,01,38,67,331"
07-02-2017,11.43,11.61,11.41,11.52,"76,29,640","1,02,09,61,130"
06-02-2017,11.35,11.48,11.34,11.39,"56,95,440","1,00,94,40,330"
05-02-2017,11.44,11.49,11.32,11.35,"59,42,960","1,00,58,55,021"
04-02-2017,11.13,11.5,11.13,11.43,"1,41,39,500","1,01,26,25,893"
03-02-2017,10.81,11.11,10.76,11.11,"1,28,97,800","98,40,19,776"
02-02-2017,10.74,10.89,10.55,10.82,"1,01,72,500","95,77,31,836"
01-02-2017,10.74,10.85,10.56,10.73,"1,28,52,200","94,94,91,718"
31-01-2017,10.56,10.75,10.55,10.73,"1,16,48,700","94,87,48,952"
30-01-2017,10.49,10.71,10.47,10.57,"80,42,180","93,45,93,362"
29-01-2017,10.56,10.57,10.45,10.48,"46,89,950","92,65,48,657"
28-01-2017,10.54,10.58,10.43,10.56,"65,80,700","93,33,78,690"
27-01-2017,10.58,10.61,10.44,10.54,"71,89,170","93,05,99,699"
26-01-2017,10.57,10.67,10.51,10.59,"84,65,020","93,48,44,928"
25-01-2017,10.62,10.62,10.48,10.57,"67,51,450","93,28,66,678"
24-01-2017,10.73,10.77,10.57,10.63,"83,27,330","93,80,04,330"
23-01-2017,10.71,10.84,10.67,10.82,"72,67,210","95,42,75,900"
22-01-2017,10.91,10.97,10.58,10.7,"86,78,620","94,35,67,856"
21-01-2017,10.6,10.98,10.58,10.91,"1,19,37,600","96,13,83,820"
20-01-2017,10.39,10.76,10.35,10.6,"1,09,92,800","93,38,54,252"
19-01-2017,10.24,10.44,10.18,10.4,"83,47,550","91,56,11,849"
18-01-2017,10.3,10.52,9.94,10.23,"1,07,88,200","90,03,65,728"
17-01-2017,9.64,10.61,9.54,10.3,"1,83,91,900","90,65,97,925"
16-01-2017,9.88,9.93,9.58,9.64,"1,49,37,400","84,77,06,513"
15-01-2017,9.83,10,9.6,9.9,"1,48,37,900","87,09,48,977"
14-01-2017,9.79,9.89,9.44,9.65,"2,00,85,800","84,79,90,590"
13-01-2017,9.83,9.85,9.51,9.77,"2,50,66,600","85,84,81,082"
12-01-2017,9.72,10.08,9.18,9.86,"3,04,53,800","86,62,37,622"
11-01-2017,10.54,10.66,9.46,9.72,"2,68,23,500","85,33,19,722"
10-01-2017,10.37,10.69,10.29,10.55,"1,08,79,700","92,60,31,183"
09-01-2017,10.31,10.78,10.14,10.33,"2,57,18,300","90,60,44,584"
08-01-2017,9.87,10.39,9.83,10.29,"1,66,76,600","90,25,76,769"
07-01-2017,10.24,10.28,9.59,9.87,"2,31,53,600","86,51,94,523"
06-01-2017,10.29,10.63,9.63,10.25,"2,94,71,800","89,88,45,928"
05-01-2017,11.29,11.89,9.4,10.25,"4,15,57,400","89,84,97,892"
04-01-2017,9.71,11.28,9.56,11.25,"4,10,51,200","98,55,15,893"
03-01-2017,8.37,10,8.32,9.73,"3,36,25,200","85,15,12,055"
02-01-2017,8.17,8.44,8.05,8.38,"1,45,79,600","73,33,31,654"
01-01-2017,7.98,8.47,7.98,8.17,"1,47,31,700","71,50,49,208"
31-12-2016,8.15,8.16,7.91,7.97,"90,66,800","69,69,93,600"
30-12-2016,8.29,8.47,8.05,8.16,"1,39,09,900","71,34,33,620"
29-12-2016,7.54,8.53,7.54,8.28,"2,75,43,800","72,40,28,107"
28-12-2016,7.15,7.62,7.08,7.52,"1,74,53,300","65,70,11,884"
27-12-2016,7.28,7.32,7.09,7.17,"87,78,610","62,62,68,701"
26-12-2016,7.13,7.33,7.05,7.27,"58,36,810","63,50,60,699"
25-12-2016,7.26,7.34,7.14,7.18,"86,71,840","62,61,89,631"
24-12-2016,7.15,7.41,7.15,7.27,"76,26,020","63,38,71,896"
23-12-2016,7.58,7.69,7.16,7.17,"1,96,13,100","62,49,56,487"
22-12-2016,7.9,7.91,7.5,7.59,"1,63,76,700","66,12,47,899"
21-12-2016,7.66,7.94,7.66,7.91,"93,93,550","68,97,18,972"
20-12-2016,7.63,7.75,7.57,7.66,"63,13,550","66,73,09,961"
19-12-2016,7.87,7.87,7.63,7.64,"58,94,760","66,56,54,987"
18-12-2016,7.86,7.93,7.72,7.87,"58,90,020","68,46,96,555"
17-12-2016,7.86,7.9,7.52,7.88,"85,02,620","68,54,26,528"
16-12-2016,7.86,7.93,7.8,7.86,"51,78,610","68,35,75,806"
15-12-2016,8.24,8.24,7.72,7.83,"1,31,84,400","68,07,40,349"
14-12-2016,8.45,8.52,8.25,8.27,"73,37,220","71,84,60,239"
13-12-2016,8.52,8.53,8.35,8.42,"44,86,190","73,18,92,846"
