Dates,Open,High,Low,Close,Volume,MarketCap
27-10-2021,1,1,0.9983,1,"95,35,07,480","6,47,64,28,486"
26-10-2021,0.9999,1,0.9997,1,"83,21,42,999","6,47,57,86,984"
25-10-2021,0.9999,1,0.9992,1,"50,26,32,533","6,47,50,38,524"
24-10-2021,1,1,0.9985,0.9999,"51,33,81,214","6,47,45,96,719"
23-10-2021,0.9995,1,0.9993,1,"56,66,84,264","6,48,53,57,786"
22-10-2021,0.9996,1,0.9988,0.9995,"63,15,36,339","6,47,19,40,435"
21-10-2021,0.9998,1,0.9988,0.9996,"75,24,13,163","6,47,25,36,426"
20-10-2021,0.9999,1,0.997,0.9998,"62,82,95,768","6,47,34,05,063"
19-10-2021,0.9995,1,0.9988,0.9999,"46,94,28,001","6,47,47,17,353"
18-10-2021,1,1,0.9987,0.9996,"55,06,97,217","6,47,23,31,322"
17-10-2021,0.9999,1,0.9987,1,"51,08,10,007","6,47,61,87,086"
16-10-2021,1,1,0.9985,1,"48,82,29,736","6,47,49,92,765"
15-10-2021,1,1,0.999,1,"1,20,44,18,606","6,47,57,12,509"
14-10-2021,1,1,0.9992,1,"52,09,05,069","6,47,85,58,463"
13-10-2021,1,1,0.9992,1,"40,95,55,634","6,48,15,69,248"
12-10-2021,1,1,0.9993,1,"42,11,33,105","6,47,58,35,248"
11-10-2021,1,1,0.9995,1,"46,01,07,456","6,47,84,51,210"
10-10-2021,1,1,0.9993,1,"36,28,65,687","6,47,71,27,413"
09-10-2021,1,1,0.9995,1,"26,93,12,663","6,48,08,01,986"
08-10-2021,1,1,0.9991,0.9999,"33,98,51,985","6,47,46,14,876"
07-10-2021,1,1,0.9992,1,"46,37,26,069","6,47,67,01,507"
06-10-2021,1,1,0.9992,1,"43,48,03,633","6,48,00,36,128"
05-10-2021,0.9999,1,0.9988,1,"39,15,41,823","6,48,23,00,891"
04-10-2021,1,1,0.9993,0.9999,"44,86,60,469","6,47,46,17,315"
03-10-2021,1,1,0.9997,1,"31,04,10,708","6,47,62,22,369"
02-10-2021,1,1,1,1,"31,31,43,929","6,48,27,90,667"
01-10-2021,1,1,0.9988,1,"49,95,88,273","6,47,74,52,081"
30-09-2021,1,1,0.9989,1,"55,92,33,196","6,48,01,37,667"
29-09-2021,0.9995,1.01,0.9984,1,"47,66,16,453","6,47,98,85,622"
28-09-2021,0.9998,1,0.9986,0.9992,"45,80,57,055","6,50,86,47,034"
27-09-2021,1,1,0.999,0.9998,"43,03,38,505","6,51,22,21,224"
26-09-2021,1,1,0.9996,1,"41,30,54,869","6,35,07,37,696"
25-09-2021,1,1,0.9995,1,"38,39,09,774","6,30,60,36,942"
24-09-2021,1,1,0.9974,1,"50,82,98,267","6,30,71,38,617"
23-09-2021,1,1,1,1,"37,58,94,392","6,30,41,26,785"
22-09-2021,1,1,0.9993,1,"51,42,84,288","6,30,40,98,854"
21-09-2021,0.9997,1,0.9987,0.9999,"72,98,12,381","6,57,77,79,725"
20-09-2021,1,1,0.999,1,"62,44,84,410","6,57,89,19,738"
19-09-2021,0.9994,1,0.9977,1,"30,97,14,536","6,59,90,81,265"
18-09-2021,0.9997,1,0.9987,0.9993,"29,87,12,688","6,59,54,59,732"
17-09-2021,1,1,0.9994,0.9996,"38,58,48,770","6,57,56,21,592"
16-09-2021,1,1,0.9991,1,"40,29,94,656","6,58,00,44,738"
15-09-2021,1,1,0.9999,1,"33,58,22,682","6,55,14,76,178"
14-09-2021,1,1,0.9996,1,"35,41,10,476","6,54,58,85,573"
13-09-2021,1,1,0.9985,1,"46,25,79,764","6,56,77,86,548"
12-09-2021,1,1,0.9991,1,"32,83,08,075","6,56,34,94,946"
11-09-2021,0.9996,1,0.999,1,"31,22,05,584","6,46,49,20,408"
10-09-2021,1,1,0.9981,0.9995,"42,86,38,272","6,47,22,42,368"
09-09-2021,1,1,0.9996,1,"43,46,54,009","6,49,92,92,670"
08-09-2021,1,1,0.9986,1,"66,94,47,321","6,49,13,97,173"
07-09-2021,1,1,0.9945,1,"91,27,96,953","6,50,94,91,173"
06-09-2021,1,1,0.9995,1,"40,66,44,063","6,47,65,35,122"
05-09-2021,1,1,0.9996,1,"33,82,07,646","6,43,10,07,334"
04-09-2021,1,1,0.9996,1,"36,87,89,401","6,40,82,44,035"
03-09-2021,1,1,0.9994,1,"48,53,95,132","6,40,18,54,900"
02-09-2021,1,1,0.9995,1,"50,80,38,352","6,35,09,27,925"
01-09-2021,1,1,1,1,"63,45,47,487","6,15,96,84,172"
31-08-2021,1,1,0.9999,1,"52,80,07,417","6,13,92,69,220"
30-08-2021,1,1,0.9996,1,"40,81,42,352","6,12,41,78,913"
29-08-2021,1,1,0.9992,1,"34,36,80,972","6,12,19,75,450"
28-08-2021,1,1,0.9998,1,"28,83,39,124","6,10,94,77,863"
27-08-2021,1,1,0.9998,1,"37,35,15,978","6,10,38,56,217"
26-08-2021,1,1,0.9995,1,"39,95,19,566","6,06,21,11,991"
25-08-2021,1,1,0.9997,1,"40,12,92,076","6,06,56,56,647"
24-08-2021,1,1,0.9994,1,"51,48,90,715","6,06,16,25,899"
23-08-2021,1,1,1,1,"45,24,02,053","6,07,39,16,654"
22-08-2021,1,1,0.9997,1,"37,26,42,719","6,06,37,81,008"
21-08-2021,1,1,0.9997,1,"41,22,85,189","6,05,13,44,195"
20-08-2021,1,1,0.9996,1,"49,60,05,267","6,04,71,14,370"
19-08-2021,1,1,0.9997,1,"41,34,79,889","6,02,52,56,014"
18-08-2021,1,1,0.9996,1,"54,55,51,935","6,00,74,46,393"
17-08-2021,1,1,0.9995,1,"56,89,75,430","5,98,34,33,881"
16-08-2021,1,1,0.9996,1,"44,12,99,032","5,99,22,52,003"
15-08-2021,1,1,0.9991,1,"44,21,35,260","5,98,28,21,108"
14-08-2021,1,1,0.9998,1,"39,29,51,236","5,95,34,76,907"
13-08-2021,1,1.01,0.9996,1,"41,29,68,231","5,93,78,93,334"
12-08-2021,1,1,0.9998,1,"53,20,72,423","5,89,76,53,341"
11-08-2021,1,1,0.9995,1,"45,39,31,546","5,86,14,28,606"
10-08-2021,1,1,0.9992,1,"48,03,54,477","5,82,44,77,581"
09-08-2021,1,1,0.9994,1,"66,22,40,256","5,78,13,11,642"
08-08-2021,1,1,0.9988,1,"53,21,06,465","5,78,96,10,148"
